2020-10-04 09:55:48,721:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 09:57:49,915:INFO:37/536,train_loss:0.470
2020-10-04 09:57:50,091:INFO:38/536,train_loss:0.462
2020-10-04 09:57:50,268:INFO:39/536,train_loss:0.452
2020-10-04 09:57:50,448:INFO:40/536,train_loss:0.464
2020-10-04 09:57:50,632:INFO:41/536,train_loss:0.441
2020-10-04 09:57:50,814:INFO:42/536,train_loss:0.443
2020-10-04 09:57:50,997:INFO:43/536,train_loss:0.561
2020-10-04 09:57:51,179:INFO:44/536,train_loss:0.433
2020-10-04 09:57:51,359:INFO:45/536,train_loss:0.409
2020-10-04 09:57:51,539:INFO:46/536,train_loss:0.563
2020-10-04 09:57:51,715:INFO:47/536,train_loss:0.531
2020-10-04 09:57:51,891:INFO:48/536,train_loss:0.442
2020-10-04 09:57:52,069:INFO:49/536,train_loss:0.506
2020-10-04 09:57:52,244:INFO:50/536,train_loss:0.493
2020-10-04 09:57:52,424:INFO:51/536,train_loss:0.502
2020-10-04 09:57:52,604:INFO:52/536,train_loss:0.383
2020-10-04 09:57:52,785:INFO:53/536,train_loss:0.455
2020-10-04 09:57:52,966:INFO:54/536,train_loss:0.387
2020-10-04 09:57:53,149:INFO:55/536,train_loss:0.424
2020-10-04 09:57:53,330:INFO:56/536,train_loss:0.445
2020-10-04 09:57:53,512:INFO:57/536,train_loss:0.461
2020-10-04 09:57:53,694:INFO:58/536,train_loss:0.398
2020-10-04 09:57:53,876:INFO:59/536,train_loss:0.436
2020-10-04 09:57:54,057:INFO:60/536,train_loss:0.478
2020-10-04 09:57:54,238:INFO:61/536,train_loss:0.418
2020-10-04 09:57:54,415:INFO:62/536,train_loss:0.544
2020-10-04 09:57:54,604:INFO:63/536,train_loss:0.410
2020-10-04 09:57:54,792:INFO:64/536,train_loss:0.457
2020-10-04 09:57:54,974:INFO:65/536,train_loss:0.431
2020-10-04 09:57:55,155:INFO:66/536,train_loss:0.451
2020-10-04 09:57:55,340:INFO:67/536,train_loss:0.371
2020-10-04 09:57:55,526:INFO:68/536,train_loss:0.401
2020-10-04 09:57:55,711:INFO:69/536,train_loss:0.414
2020-10-04 09:57:55,898:INFO:70/536,train_loss:0.341
2020-10-04 09:57:56,084:INFO:71/536,train_loss:0.406
2020-10-04 09:57:56,264:INFO:72/536,train_loss:0.401
2020-10-04 09:57:56,457:INFO:73/536,train_loss:0.394
2020-10-04 09:57:56,646:INFO:74/536,train_loss:0.412
2020-10-04 09:57:56,835:INFO:75/536,train_loss:0.343
2020-10-04 09:57:57,022:INFO:76/536,train_loss:0.345
2020-10-04 09:57:57,208:INFO:77/536,train_loss:0.339
2020-10-04 09:57:57,392:INFO:78/536,train_loss:0.482
2020-10-04 09:57:57,574:INFO:79/536,train_loss:0.350
2020-10-04 09:57:57,756:INFO:80/536,train_loss:0.474
2020-10-04 09:57:57,936:INFO:81/536,train_loss:0.320
2020-10-04 09:57:58,119:INFO:82/536,train_loss:0.319
2020-10-04 09:57:58,298:INFO:83/536,train_loss:0.344
2020-10-04 09:57:58,479:INFO:84/536,train_loss:0.312
2020-10-04 09:57:58,662:INFO:85/536,train_loss:0.367
2020-10-04 09:57:58,842:INFO:86/536,train_loss:0.350
2020-10-04 09:57:59,024:INFO:87/536,train_loss:0.370
2020-10-04 09:57:59,205:INFO:88/536,train_loss:0.330
2020-10-04 09:57:59,389:INFO:89/536,train_loss:0.336
2020-10-04 09:57:59,574:INFO:90/536,train_loss:0.302
2020-10-04 09:57:59,757:INFO:91/536,train_loss:0.311
2020-10-04 09:57:59,937:INFO:92/536,train_loss:0.342
2020-10-04 09:58:00,120:INFO:93/536,train_loss:0.293
2020-10-04 09:58:00,303:INFO:94/536,train_loss:0.319
2020-10-04 09:58:00,482:INFO:95/536,train_loss:0.336
2020-10-04 09:58:00,674:INFO:96/536,train_loss:0.289
2020-10-04 09:58:00,864:INFO:97/536,train_loss:0.327
2020-10-04 09:58:01,050:INFO:98/536,train_loss:0.289
2020-10-04 09:58:01,234:INFO:99/536,train_loss:0.287
2020-10-04 09:58:01,421:INFO:100/536,train_loss:0.279
2020-10-04 09:58:01,604:INFO:101/536,train_loss:0.448
2020-10-04 09:58:01,785:INFO:102/536,train_loss:0.314
2020-10-04 09:58:01,971:INFO:103/536,train_loss:0.359
2020-10-04 09:58:02,150:INFO:104/536,train_loss:0.272
2020-10-04 09:58:02,330:INFO:105/536,train_loss:0.270
2020-10-04 09:58:02,510:INFO:106/536,train_loss:0.275
2020-10-04 09:58:02,693:INFO:107/536,train_loss:0.334
2020-10-04 09:58:02,879:INFO:108/536,train_loss:0.344
2020-10-04 10:05:20,509:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 10:05:22,689:INFO:Epoch 0/79
2020-10-04 10:11:16,148:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 10:11:18,219:INFO:Epoch 0/79
2020-10-04 13:31:44,792:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 13:31:46,876:INFO:Epoch 0/79
2020-10-04 14:14:22,904:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 14:14:24,955:INFO:Epoch 0/79
2020-10-04 15:29:33,895:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 15:29:36,011:INFO:Epoch 0/79
2020-10-04 19:47:48,043:INFO:
=======
models:Unet,
epoch:80,
batch size:1
dataset:ACDC
========
2020-10-04 19:47:51,974:INFO:Epoch 0/79
